"gene","EntrezSummary","GeneCardsSummary","UniProtKB_Summary","EnsemblGene","moderate1","moderate2","moderate3","moderate4","femModerate_mean","femHealthy_mean","femModHealthy_FoldChange"
"IGLC1","                                            IGLC1 (Immunoglobulin Lambda Constant 1) is a Protein Coding gene.                                                                                        Among its related pathways are Cell surface interactions at the vascular wall and RET signaling.                                            Gene Ontology (GO) annotations related to this gene include antigen binding.                                            An important paralog of this gene is IGLL5.","                                            IGLC1 (Immunoglobulin Lambda Constant 1) is a Protein Coding gene.                                                                                        Among its related pathways are Cell surface interactions at the vascular wall and RET signaling.                                            Gene Ontology (GO) annotations related to this gene include antigen binding.                                            An important paralog of this gene is IGLL5.","Constant region of immunoglobulin light chains. Immunoglobulins, also known as antibodies, are membrane-bound or secreted glycoproteins produced by B lymphocytes. In the recognition phase of humoral immunity, the membrane-bound immunoglobulins serve as receptors which, upon binding of a specific antigen, trigger the clonal expansion and differentiation of B lymphocytes into immunoglobulins-secreting plasma cells. Secreted immunoglobulins mediate the effector phase of humoral immunity, which results in the elimination of bound antigens (PubMed:22158414, PubMed:20176268). The antigen binding site is formed by the variable domain of one heavy chain, together with that of its associated light chain. Thus, each immunoglobulin has two antigen binding sites with remarkable affinity for a particular antigen. The variable domains are assembled by a process called V-(D)-J rearrangement and can then be subjected to somatic hypermutations which, after exposure to antigen and selection, allow affinity maturation for a particular antigen (PubMed:17576170, PubMed:20176268).
                         IGLC1_HUMAN,P0CG04
                         ","ENSG00000277856",174,920,2460,704,1064.5,69.7777777777778,15.2555732484076
"IGLC2","                                            IGLC2 (Immunoglobulin Lambda Constant 2) is a Protein Coding gene.                                                                                                                                    Gene Ontology (GO) annotations related to this gene include antigen binding.                                            An important paralog of this gene is IGLC3.","                                            IGLC2 (Immunoglobulin Lambda Constant 2) is a Protein Coding gene.                                                                                                                                    Gene Ontology (GO) annotations related to this gene include antigen binding.                                            An important paralog of this gene is IGLC3.","Constant region of immunoglobulin light chains. Immunoglobulins, also known as antibodies, are membrane-bound or secreted glycoproteins produced by B lymphocytes. In the recognition phase of humoral immunity, the membrane-bound immunoglobulins serve as receptors which, upon binding of a specific antigen, trigger the clonal expansion and differentiation of B lymphocytes into immunoglobulins-secreting plasma cells. Secreted immunoglobulins mediate the effector phase of humoral immunity, which results in the elimination of bound antigens (PubMed:22158414, PubMed:20176268). The antigen binding site is formed by the variable domain of one heavy chain, together with that of its associated light chain. Thus, each immunoglobulin has two antigen binding sites with remarkable affinity for a particular antigen. The variable domains are assembled by a process called V-(D)-J rearrangement and can then be subjected to somatic hypermutations which, after exposure to antigen and selection, allow affinity maturation for a particular antigen (PubMed:17576170, PubMed:20176268).
                         IGLC2_HUMAN,P0DOY2
                         ","ENSG00000277856",174,920,2460,704,1064.5,69.7777777777778,15.2555732484076
"IGLC3","                                            IGLC3 (Immunoglobulin Lambda Constant 3 (Kern-Oz+ Marker)) is a Protein Coding gene.                                                                                                                                    Gene Ontology (GO) annotations related to this gene include antigen binding.                                            An important paralog of this gene is IGLC2.","                                            IGLC3 (Immunoglobulin Lambda Constant 3 (Kern-Oz+ Marker)) is a Protein Coding gene.                                                                                                                                    Gene Ontology (GO) annotations related to this gene include antigen binding.                                            An important paralog of this gene is IGLC2.","Constant region of immunoglobulin light chains. Immunoglobulins, also known as antibodies, are membrane-bound or secreted glycoproteins produced by B lymphocytes. In the recognition phase of humoral immunity, the membrane-bound immunoglobulins serve as receptors which, upon binding of a specific antigen, trigger the clonal expansion and differentiation of B lymphocytes into immunoglobulins-secreting plasma cells. Secreted immunoglobulins mediate the effector phase of humoral immunity, which results in the elimination of bound antigens (PubMed:22158414, PubMed:20176268). The antigen binding site is formed by the variable domain of one heavy chain, together with that of its associated light chain. Thus, each immunoglobulin has two antigen binding sites with remarkable affinity for a particular antigen. The variable domains are assembled by a process called V-(D)-J rearrangement and can then be subjected to somatic hypermutations which, after exposure to antigen and selection, allow affinity maturation for a particular antigen (PubMed:17576170, PubMed:20176268).
                         IGLC3_HUMAN,P0DOY3
                         ","ENSG00000277856",174,920,2460,704,1064.5,69.7777777777778,15.2555732484076
"IGLC7","                                            IGLC7 (Immunoglobulin Lambda Constant 7) is a Protein Coding gene.                                                                                                                                    Gene Ontology (GO) annotations related to this gene include antigen binding.                                            An important paralog of this gene is IGLC1.","                                            IGLC7 (Immunoglobulin Lambda Constant 7) is a Protein Coding gene.                                                                                                                                    Gene Ontology (GO) annotations related to this gene include antigen binding.                                            An important paralog of this gene is IGLC1.","Constant region of immunoglobulin light chains. Immunoglobulins, also known as antibodies, are membrane-bound or secreted glycoproteins produced by B lymphocytes. In the recognition phase of humoral immunity, the membrane-bound immunoglobulins serve as receptors which, upon binding of a specific antigen, trigger the clonal expansion and differentiation of B lymphocytes into immunoglobulins-secreting plasma cells. Secreted immunoglobulins mediate the effector phase of humoral immunity, which results in the elimination of bound antigens (PubMed:22158414, PubMed:20176268). The antigen binding site is formed by the variable domain of one heavy chain, together with that of its associated light chain. Thus, each immunoglobulin has two antigen binding sites with remarkable affinity for a particular antigen. The variable domains are assembled by a process called V-(D)-J rearrangement and can then be subjected to somatic hypermutations which, after exposure to antigen and selection, allow affinity maturation for a particular antigen (PubMed:17576170, PubMed:20176268).
                         IGLC7_HUMAN,A0M8Q6
                         ","ENSG00000277856",174,920,2460,704,1064.5,69.7777777777778,15.2555732484076
"IGLL1","The preB cell receptor is found on the surface of proB and preB cells, where it is involved in transduction of signals for cellular proliferation, differentiation from the proB cell to the preB cell stage, allelic exclusion at the Ig heavy chain gene locus, and promotion of Ig light chain gene rearrangements. The preB cell receptor is composed of a membrane-bound Ig mu heavy chain in association with a heterodimeric surrogate light chain. This gene encodes one of the surrogate light chain subunits and is a member of the immunoglobulin gene superfamily. This gene does not undergo rearrangement. Mutations in this gene can result in B cell deficiency and agammaglobulinemia, an autosomal recessive disease in which few or no gamma globulins or antibodies are made. Two transcript variants encoding different isoforms have been found for this gene. [provided by RefSeq, Jul 2008]","                                            IGLL1 (Immunoglobulin Lambda Like Polypeptide 1) is a Protein Coding gene.                                            Diseases associated with IGLL1 include Agammaglobulinemia 2, Autosomal Recessive and Agammaglobulinemia, Non-Bruton Type.                                            Among its related pathways are Cell surface interactions at the vascular wall and Response to elevated platelet cytosolic Ca2+.                                                                                        An important paralog of this gene is IGLL5.","Critical for B-cell development.
                         IGLL1_HUMAN,P15814
                         ","ENSG00000277856",174,920,2460,704,1064.5,69.7777777777778,15.2555732484076
"IGLL5","This gene encodes one of the immunoglobulin lambda-like polypeptides. It is located within the immunoglobulin lambda locus but it does not require somatic rearrangement for expression. The first exon of this gene is unrelated to immunoglobulin variable genes; the second and third exons are the immunoglobulin lambda joining 1 and the immunoglobulin lambda constant 1 gene segments. Alternative splicing results in multiple transcript variants. [provided by RefSeq, May 2010]","                                            IGLL5 (Immunoglobulin Lambda Like Polypeptide 5) is a Protein Coding gene.                                            Diseases associated with IGLL5 include Schuurs-Hoeijmakers Syndrome and Retina Lymphoma.                                                                                        Gene Ontology (GO) annotations related to this gene include antigen binding.                                            An important paralog of this gene is IGLL1.","no summary","ENSG00000277856",174,920,2460,704,1064.5,69.7777777777778,15.2555732484076
"TRDC","T cell receptors recognize foreign antigens which have been processed as small peptides and bound to major histocompatibility complex (MHC) molecules at the surface of antigen presenting cells (APC). Each T cell receptor is a dimer consisting of one alpha and one beta chain or one delta and one gamma chain. In a single cell, the T cell receptor loci are rearranged and expressed in the order delta, gamma, beta, and alpha. If both delta and gamma rearrangements produce functional chains, the cell expresses delta and gamma. If not, the cell proceeds to rearrange the beta and alpha loci. This region represents the germline organization of the T cell receptor alpha and delta loci. Both the alpha and delta loci include V (variable), J (joining), and C (constant) segments and the delta locus also includes diversity (D) segments. The delta locus is situated within the alpha locus, between the alpha V and J segments. During T cell development, the delta chain is synthesized by a recombination event at the DNA level joining a D segment with a J segment; a V segment is then joined to the D-J gene. The alpha chain is synthesized by recombination joining a single V segment with a J segment. For both chains, the C segment is later joined by splicing at the RNA level. Recombination of many different V segments with several J segments provides a wide range of antigen recognition. Additional diversity is attained by junctional diversity, resulting from the random additional of nucleotides by terminal deoxynucleotidyltransferase. Five variable segments can be used in either alpha or delta chains and are described by TRAV/DV symbols. Several V and J segments of the alpha locus are known to be incapable of encoding a protein and are considered pseudogenes. [provided by RefSeq, Aug 2016]","                                            TRDC (T Cell Receptor Delta Constant) is a Protein Coding gene.                                                                                                                                                                                An important paralog of this gene is IGHM.","Constant region of T cell receptor (TR) delta chain that participates in the antigen recognition (PubMed:24600447). Gamma-delta TRs recognize a variety of self and foreign non-peptide antigens frequently expressed at the epithelial boundaries between the host and external environment, including endogenous lipids presented by MH-like protein CD1D and phosphoantigens presented by butyrophilin-like molecule BTN3A1. Upon antigen recognition induces rapid, innate-like immune responses involved in pathogen clearance and tissue repair (PubMed:28920588, PubMed:23348415). Binding of gamma-delta TR complex to antigen triggers phosphorylation of immunoreceptor tyrosine-based activation motifs (ITAMs) in the CD3 chains by the LCK and FYN kinases, allowing the recruitment, phosphorylation, and activation of ZAP70 that facilitates phosphorylation of the scaffolding proteins LCP2 and LAT. This lead to the formation of a supramolecular signalosome that recruits the phospholipase PLCG1, resulting in calcium mobilization and ERK activation, ultimately leading to T cell expansion and differentiation into effector cells (PubMed:25674089). Gamma-delta TRs are produced through somatic rearrangement of a limited repertoire of variable (V), diversity (D), and joining (J) genes. The potential diversity of gamma-delta TRs is conferred by the unique ability to rearrange (D) genes in tandem and to utilize all three reading frames. The combinatorial diversity is considerably increased by the sequence exonuclease trimming and random nucleotide (N) region additions which occur during the V-(D)-J rearrangements (PubMed:24387714).
                         TRDC_HUMAN,B7Z8K6
                         ","ENSG00000277856",174,920,2460,704,1064.5,69.7777777777778,15.2555732484076
"IFIT1B","                                            IFIT1B (Interferon Induced Protein With Tetratricopeptide Repeats 1B) is a Protein Coding gene.                                                                                        Among its related pathways are Toll-like Receptor Signaling Pathway.                                                                                        An important paralog of this gene is IFIT1.","                                            IFIT1B (Interferon Induced Protein With Tetratricopeptide Repeats 1B) is a Protein Coding gene.                                                                                        Among its related pathways are Toll-like Receptor Signaling Pathway.                                                                                        An important paralog of this gene is IFIT1.","no summary","ENSG00000204010",3,86,188,205,120.5,7.11111111111111,16.9453125
"LTF","This gene is a member of the transferrin family of genes and its protein product is found in the secondary granules of neutrophils. The protein is a major iron-binding protein in milk and body secretions with an antimicrobial activity, making it an important component of the non-specific immune system. The protein demonstrates a broad spectrum of properties, including regulation of iron homeostasis, host defense against a broad range of microbial infections, anti-inflammatory activity, regulation of cellular growth and differentiation and protection against cancer development and metastasis. Antimicrobial, antiviral, antifungal and antiparasitic activity has been found for this protein and its peptides. Alternatively spliced transcript variants encoding different isoforms have been found for this gene. [provided by RefSeq, Sep 2014]","                                            LTF (Lactotransferrin) is a Protein Coding gene.                                            Diseases associated with LTF include Mastitis and Keratoconjunctivitis Sicca.                                            Among its related pathways are Response of Mtb to phagocytosis and Innate Immune System.                                            Gene Ontology (GO) annotations related to this gene include serine-type endopeptidase activity and heparin binding.                                            An important paralog of this gene is TF.","Transferrins are iron binding transport proteins which can bind two Fe(3+) ions in association with the binding of an anion, usually bicarbonate.
                         TRFL_HUMAN,P02788
                         ","ENSG00000012223",7,9,4,18,9.5,0.555555555555556,17.1
"SLC4A1","The protein encoded by this gene is part of the anion exchanger (AE) family and is expressed in the erythrocyte plasma membrane, where it functions as a chloride/bicarbonate exchanger involved in carbon dioxide transport from tissues to lungs. The protein comprises two domains that are structurally and functionally distinct. The N-terminal 40kDa domain is located in the cytoplasm and acts as an attachment site for the red cell skeleton by binding ankyrin. The glycosylated C-terminal membrane-associated domain contains 12-14 membrane spanning segments and carries out the stilbene disulphonate-sensitive exchange transport of anions. The cytoplasmic tail at the extreme C-terminus of the membrane domain binds carbonic anhydrase II. The encoded protein associates with the red cell membrane protein glycophorin A and this association promotes the correct folding and translocation of the exchanger. This protein is predominantly dimeric but forms tetramers in the presence of ankyrin. Many mutations in this gene are known in man, and these mutations can lead to two types of disease: destabilization of red cell membrane leading to hereditary spherocytosis, and defective kidney acid secretion leading to distal renal tubular acidosis. Other mutations that do not give rise to disease result in novel blood group antigens, which form the Diego blood group system. Southeast Asian ovalocytosis (SAO, Melanesian ovalocytosis) results from the heterozygous presence of a deletion in the encoded protein and is common in areas where Plasmodium falciparum malaria is endemic. One null mutation in this gene is known, resulting in very severe anemia and nephrocalcinosis. [provided by RefSeq, Jul 2008]","                                            SLC4A1 (Solute Carrier Family 4 Member 1 (Diego Blood Group)) is a Protein Coding gene.                                            Diseases associated with SLC4A1 include Renal Tubular Acidosis, Distal, Autosomal Dominant and Cryohydrocytosis.                                            Among its related pathways are Transport of glucose and other sugars, bile salts and organic acids, metal ions and amine compounds and Neuroscience.                                            Gene Ontology (GO) annotations related to this gene include protein homodimerization activity and transporter activity.                                            An important paralog of this gene is SLC4A2.","Functions both as a transporter that mediates electroneutral anion exchange across the cell membrane and as a structural protein. Major integral membrane glycoprotein of the erythrocyte membrane; required for normal flexibility and stability of the erythrocyte membrane and for normal erythrocyte shape via the interactions of its cytoplasmic domain with cytoskeletal proteins, glycolytic enzymes, and hemoglobin. Functions as a transporter that mediates the 1:1 exchange of inorganic anions across the erythrocyte membrane. Mediates chloride-bicarbonate exchange in the kidney, and is required for normal acidification of the urine.
                         B3AT_HUMAN,P02730
                         ","ENSG00000004939",2,71,523,179,193.75,10.8888888888889,17.7933673469388
"CA1","Carbonic anhydrases (CAs) are a large family of zinc metalloenzymes that catalyze the reversible hydration of carbon dioxide. They participate in a variety of biological processes, including respiration, calcification, acid-base balance, bone resorption, and the formation of aqueous humor, cerebrospinal fluid, saliva and gastric acid. They show extensive diversity in tissue distribution and in their subcellular localization. This CA1 gene is closely linked to the CA2 and CA3 genes on chromosome 8. It encodes a cytosolic protein that is found at the highest level in erythrocytes. Allelic variants of this gene have been described in some populations. Alternative splicing and the use of alternative promoters results in multiple transcript variants. [provided by RefSeq, Nov 2016]","                                            CA1 (Carbonic Anhydrase 1) is a Protein Coding gene.                                            Diseases associated with CA1 include Renal Tubular Acidosis and Transient Global Amnesia.                                            Among its related pathways are C-MYB transcription factor network and O2/CO2 exchange in erythrocytes.                                            Gene Ontology (GO) annotations related to this gene include carbonate dehydratase activity and hydro-lyase activity.                                            An important paralog of this gene is CA2.","Reversible hydration of carbon dioxide. Can hydrates cyanamide to urea.
                         CAH1_HUMAN,P00915
                         ","ENSG00000133742",3,515,715,423,414,22.3333333333333,18.5373134328358
"SELENBP1","This gene encodes a member of the selenium-binding protein family. Selenium is an essential nutrient that exhibits potent anticarcinogenic properties, and deficiency of selenium may cause certain neurologic diseases. The effects of selenium in preventing cancer and neurologic diseases may be mediated by selenium-binding proteins, and decreased expression of this gene may be associated with several types of cancer. The encoded protein may play a selenium-dependent role in ubiquitination/deubiquitination-mediated protein degradation. Alternatively spliced transcript variants encoding multiple isoforms have been observed for this gene. [provided by RefSeq, Apr 2012]","                                            SELENBP1 (Selenium Binding Protein 1) is a Protein Coding gene.                                            Diseases associated with SELENBP1 include Extraoral Halitosis Due To Methanethiol Oxidase Deficiency and Posteroinferior Myocardial Infarction.                                            Among its related pathways are IL1 and megakaryocytes in obesity and Metabolism.                                            Gene Ontology (GO) annotations related to this gene include selenium binding.                                            ","Catalyzes the oxidation of methanethiol, an organosulfur compound known to be produced in substantial amounts by gut bacteria (PubMed:29255262). Selenium-binding protein which may be involved in the sensing of reactive xenobiotics in the cytoplasm. May be involved in intra-Golgi protein transport (By similarity).
                         SBP1_HUMAN,Q13228
                         ","ENSG00000143416",2,221,646,176,261.25,13.7777777777778,18.9616935483871
"EPB42","Erythrocyte membrane protein band 4.2 is an ATP-binding protein which may regulate the association of protein 3 with ankyrin. It probably has a role in erythrocyte shape and mechanical property regulation. Mutations in the EPB42 gene are associated with recessive spherocytic elliptocytosis and recessively transmitted hereditary hemolytic anemia. Alternatively spliced transcript variants encoding different isoforms have been found for this gene. [provided by RefSeq, Jul 2008]","                                            EPB42 (Erythrocyte Membrane Protein Band 4.2) is a Protein Coding gene.                                            Diseases associated with EPB42 include Spherocytosis, Type 5 and Hereditary Spherocytosis.                                                                                        Gene Ontology (GO) annotations related to this gene include structural constituent of cytoskeleton and protein-glutamine gamma-glutamyltransferase activity.                                            An important paralog of this gene is TGM5.","Probably plays an important role in the regulation of erythrocyte shape and mechanical properties.
                         EPB42_HUMAN,P16452
                         ","ENSG00000166947",1,142,374,130,161.75,8.22222222222222,19.6722972972973
"TMEM233","                                            TMEM233 (Transmembrane Protein 233) is a Protein Coding gene.                                            Diseases associated with TMEM233 include Osteogenesis Imperfecta, Type V and Mitochondrial Myopathy, Encephalopathy, Lactic Acidosis, And Stroke-Like Episodes.                                                                                                                                    An important paralog of this gene is TRARG1.","                                            TMEM233 (Transmembrane Protein 233) is a Protein Coding gene.                                            Diseases associated with TMEM233 include Osteogenesis Imperfecta, Type V and Mitochondrial Myopathy, Encephalopathy, Lactic Acidosis, And Stroke-Like Episodes.                                                                                                                                    An important paralog of this gene is TRARG1.","no summary","ENSG00000224982",4,0,5,0,2.25,0.111111111111111,20.25
"IGHV3-20","                                            IGHV3-20 (Immunoglobulin Heavy Variable 3-20) is a Protein Coding gene.                                                                                                                                                                                An important paralog of this gene is IGHV3-43.","                                            IGHV3-20 (Immunoglobulin Heavy Variable 3-20) is a Protein Coding gene.                                                                                                                                                                                An important paralog of this gene is IGHV3-43.","V region of the variable domain of immunoglobulin heavy chains that participates in the antigen recognition (PubMed:24600447). Immunoglobulins, also known as antibodies, are membrane-bound or secreted glycoproteins produced by B lymphocytes. In the recognition phase of humoral immunity, the membrane-bound immunoglobulins serve as receptors which, upon binding of a specific antigen, trigger the clonal expansion and differentiation of B lymphocytes into immunoglobulins-secreting plasma cells. Secreted immunoglobulins mediate the effector phase of humoral immunity, which results in the elimination of bound antigens (PubMed:22158414, PubMed:20176268). The antigen binding site is formed by the variable domain of one heavy chain, together with that of its associated light chain. Thus, each immunoglobulin has two antigen binding sites with remarkable affinity for a particular antigen. The variable domains are assembled by a process called V-(D)-J rearrangement and can then be subjected to somatic hypermutations which, after exposure to antigen and selection, allow affinity maturation for a particular antigen (PubMed:20176268, PubMed:17576170).
                         HV320_HUMAN,A0A0C4DH32
                         ","ENSG00000211946",219,3649,4214,1641,2430.75,119.666666666667,20.3126740947075
"IGLV5-37","                                            IGLV5-37 (Immunoglobulin Lambda Variable 5-37) is a Protein Coding gene.                                                                                                                                                                                An important paralog of this gene is IGLV5-45.","                                            IGLV5-37 (Immunoglobulin Lambda Variable 5-37) is a Protein Coding gene.                                                                                                                                                                                An important paralog of this gene is IGLV5-45.","V region of the variable domain of immunoglobulin light chains that participates in the antigen recognition (PubMed:24600447). Immunoglobulins, also known as antibodies, are membrane-bound or secreted glycoproteins produced by B lymphocytes. In the recognition phase of humoral immunity, the membrane-bound immunoglobulins serve as receptors which, upon binding of a specific antigen, trigger the clonal expansion and differentiation of B lymphocytes into immunoglobulins-secreting plasma cells. Secreted immunoglobulins mediate the effector phase of humoral immunity, which results in the elimination of bound antigens (PubMed:20176268, PubMed:22158414). The antigen binding site is formed by the variable domain of one heavy chain, together with that of its associated light chain. Thus, each immunoglobulin has two antigen binding sites with remarkable affinity for a particular antigen. The variable domains are assembled by a process called V-(D)-J rearrangement and can then be subjected to somatic hypermutations which, after exposure to antigen and selection, allow affinity maturation for a particular antigen (PubMed:17576170, PubMed:20176268).
                         LV537_HUMAN,A0A075B6J1
                         ","ENSG00000211654",6,109,829,74,254.5,11.2222222222222,22.6782178217822
"AHSP","This gene encodes a molecular chaperone which binds specifically to free alpha-globin and is involved in hemoglobin assembly. The encoded protein binds to monomeric alpha-globin until it has been transferred to beta-globin to form a heterodimer, which in turn binds to another heterodimer to form the stable tetrameric hemoglobin. Alternative splicing results in multiple transcript variants. [provided by RefSeq, Dec 2015]","                                            AHSP (Alpha Hemoglobin Stabilizing Protein) is a Protein Coding gene.                                            Diseases associated with AHSP include Beta-Thalassemia and Thalassemia.                                                                                        Gene Ontology (GO) annotations related to this gene include unfolded protein binding and hemoglobin binding.                                            ","Acts as a chaperone to prevent the harmful aggregation of alpha-hemoglobin during normal erythroid cell development. Specifically protects free alpha-hemoglobin from precipitation. It is predicted to modulate pathological states of alpha-hemoglobin excess such as beta-thalassemia.
                         AHSP_HUMAN,Q9NZD4
                         ","ENSG00000169877",0,205,439,115,189.75,8.33333333333333,22.77
"ALAS2","The product of this gene specifies an erythroid-specific mitochondrially located enzyme. The encoded protein catalyzes the first step in the heme biosynthetic pathway. Defects in this gene cause X-linked pyridoxine-responsive sideroblastic anemia. Alternatively spliced transcript variants encoding different isoforms have been identified. [provided by RefSeq, Jul 2008]","                                            ALAS2 (5'-Aminolevulinate Synthase 2) is a Protein Coding gene.                                            Diseases associated with ALAS2 include Anemia, Sideroblastic, 1 and Protoporphyria, Erythropoietic, X-Linked.                                            Among its related pathways are Porphyrin and chlorophyll metabolism and Metabolism.                                            Gene Ontology (GO) annotations related to this gene include pyridoxal phosphate binding and glycine binding.                                            An important paralog of this gene is ALAS1.","no summary","ENSG00000158578",2,2641,6799,1216,2664.5,112.222222222222,23.7430693069307
"HBM","The human alpha globin gene cluster located on chromosome 16 spans about 30 kb and includes seven loci: 5'- zeta - pseudozeta - mu - pseudoalpha-1 - alpha-2 - alpha-1 - theta - 3'. This gene has an ORF encoding a 141 aa polypeptide which is similar to the delta globins found in reptiles and birds. This locus was originally described as a pseudogene; however, it is currently thought to be a protein-coding gene. [provided by RefSeq, Jul 2008]","                                            HBM (Hemoglobin Subunit Mu) is a Protein Coding gene.                                            Diseases associated with HBM include Alcohol-Induced Mental Disorder and Alcoholic Psychosis.                                                                                        Gene Ontology (GO) annotations related to this gene include iron ion binding and oxygen binding.                                            An important paralog of this gene is HBZ.","no summary","ENSG00000206177",0,301,371,124,199,8,24.875
"LINC02395","                                            LINC02395 (Long Intergenic Non-Protein Coding RNA 2395) is an RNA Gene, and is affiliated with the lncRNA class.                                                                                                                                                                                ","                                            LINC02395 (Long Intergenic Non-Protein Coding RNA 2395) is an RNA Gene, and is affiliated with the lncRNA class.                                                                                                                                                                                ","no summary","ENSG00000257771",5,0,4,3,3,0.111111111111111,27
"HBD","The delta (HBD) and beta (HBB) genes are normally expressed in the adult: two alpha chains plus two beta chains constitute HbA, which in normal adult life comprises about 97% of the total hemoglobin. Two alpha chains plus two delta chains constitute HbA-2, which with HbF comprises the remaining 3% of adult hemoglobin. Five beta-like globin genes are found within a 45 kb cluster on chromosome 11 in the following order:      5'-epsilon--Ggamma--Agamma--delta--beta-3'. Mutations in the delta-globin gene are associated with beta-thalassemia. [provided by RefSeq, Jul 2008]","                                            HBD (Hemoglobin Subunit Delta) is a Protein Coding gene.                                            Diseases associated with HBD include Hemoglobin Lepore-Beta-Thalassemia Syndrome and Fetal Hemoglobin Quantitative Trait Locus 1.                                            Among its related pathways are Response to elevated platelet cytosolic Ca2+ and Factors involved in megakaryocyte development and platelet production.                                            Gene Ontology (GO) annotations related to this gene include iron ion binding and oxygen binding.                                            An important paralog of this gene is HBB.","Involved in oxygen transport from the lung to the various peripheral tissues.
                         HBD_HUMAN,P02042
                         ","ENSG00000223609",1,694,1909,845,862.25,31.2222222222222,27.6165480427046
"CRYBB1","Crystallins are separated into two classes: taxon-specific, or enzyme, and ubiquitous. The latter class constitutes the major proteins of vertebrate eye lens and maintains the transparency and refractive index of the lens. Since lens central fiber cells lose their nuclei during development, these crystallins are made and then retained throughout life, making them extremely stable proteins. Mammalian lens crystallins are divided into alpha, beta, and gamma families; beta and gamma crystallins are also considered as a superfamily. Alpha and beta families are further divided into acidic and basic groups. Seven protein regions exist in crystallins: four homologous motifs, a connecting peptide, and N- and C-terminal extensions. Beta-crystallins, the most heterogeneous, differ by the presence of the C-terminal extension (present in the basic group, none in the acidic group). Beta-crystallins form aggregates of different sizes and are able to self-associate to form dimers or to form heterodimers with other beta-crystallins. This gene, a beta basic group member, undergoes extensive cleavage at its N-terminal extension during lens maturation. It is also a member of a gene cluster with beta-A4, beta-B2, and beta-B3. [provided by RefSeq, Jul 2008]","                                            CRYBB1 (Crystallin Beta B1) is a Protein Coding gene.                                            Diseases associated with CRYBB1 include Cataract 17, Multiple Types and Cataract Microcornea Syndrome.                                                                                        Gene Ontology (GO) annotations related to this gene include structural constituent of eye lens.                                            An important paralog of this gene is CRYBB3.","Crystallins are the dominant structural components of the vertebrate eye lens.
                         CRBB1_HUMAN,P53674
                         ","ENSG00000279440",1,1,9,2,3.25,0.111111111111111,29.25
"ENSG00000279440","                                            ENSG00000279440  is an RNA Gene, and is affiliated with the lncRNA class.                                                                                                                                                                                ","                                            ENSG00000279440  is an RNA Gene, and is affiliated with the lncRNA class.                                                                                                                                                                                ","no summary","ENSG00000279440",1,1,9,2,3.25,0.111111111111111,29.25
"HSALNG0134685","                                            HSALNG0134685  is an RNA Gene, and is affiliated with the lncRNA class.                                                                                                                                                                                ","                                            HSALNG0134685  is an RNA Gene, and is affiliated with the lncRNA class.                                                                                                                                                                                ","no summary","ENSG00000279440",1,1,9,2,3.25,0.111111111111111,29.25
"LOC107985582","                                            LOC107985582 (Uncharacterized LOC107985582) is an RNA Gene, and is affiliated with the ncRNA class.                                                                                                                                                                                ","                                            LOC107985582 (Uncharacterized LOC107985582) is an RNA Gene, and is affiliated with the ncRNA class.                                                                                                                                                                                ","no summary","ENSG00000279440",1,1,9,2,3.25,0.111111111111111,29.25
"LOC284898","                                            LOC284898 (Uncharacterized LOC284898) is a Protein Coding gene.                                                                                                                                                                                ","                                            LOC284898 (Uncharacterized LOC284898) is a Protein Coding gene.                                                                                                                                                                                ","no summary","ENSG00000279440",1,1,9,2,3.25,0.111111111111111,29.25
"RF00026-670","                                            RF00026-670  is an RNA Gene, and is affiliated with the snRNA class.                                                                                                                                                                                ","                                            RF00026-670  is an RNA Gene, and is affiliated with the snRNA class.                                                                                                                                                                                ","U6 spliceosomal RNA
                        RF00026
                        ","ENSG00000279440",1,1,9,2,3.25,0.111111111111111,29.25
"RNU6-1066P","                                            RNU6-1066P (RNA, U6 Small Nuclear 1066, Pseudogene) is a Pseudogene.                                                                                                                                                                                ","                                            RNU6-1066P (RNA, U6 Small Nuclear 1066, Pseudogene) is a Pseudogene.                                                                                                                                                                                ","no summary","ENSG00000279440",1,1,9,2,3.25,0.111111111111111,29.25
"CTSE","This gene encodes a member of the A1 family of peptidases. Alternative splicing of this gene results in multiple transcript variants. At least one of these variants encodes a preproprotein that is proteolytically processed to generate the mature enzyme. This enzyme, an aspartic endopeptidase, may be involved in antigen processing and the maturation of secretory proteins. Elevated expression of this gene has been observed in neurodegeneration. [provided by RefSeq, Nov 2015]","                                            CTSE (Cathepsin E) is a Protein Coding gene.                                            Diseases associated with CTSE include Gastric Papillary Adenocarcinoma and Rosai-Dorfman Disease.                                            Among its related pathways are Lysosome and Innate Immune System.                                            Gene Ontology (GO) annotations related to this gene include protein homodimerization activity and aspartic-type endopeptidase activity.                                            An important paralog of this gene is PGA5.","May have a role in immune function. Probably involved in the processing of antigenic peptides during MHC class II-mediated antigen presentation. May play a role in activation-induced lymphocyte depletion in the thymus, and in neuronal degeneration and glial cell activation in the brain.
                         CATE_HUMAN,P14091
                         ","ENSG00000196188",0,3,7,5,3.75,0.111111111111111,33.75
